token,class,count
0,SSI_high,23
0,SSI_low,82
0kg,SSI_high,0
0kg,SSI_low,1
0km,SSI_high,1
0km,SSI_low,0
0件,SSI_high,0
0件,SSI_low,2
0分,SSI_high,0
0分,SSI_low,1
0回,SSI_high,0
0回,SSI_low,2
0回目,SSI_high,0
0回目,SSI_low,1
0度,SSI_high,0
0度,SSI_low,1
0時,SSI_high,4
0時,SSI_low,16
0本,SSI_high,0
0本,SSI_low,2
???,SSI_high,0
???,SSI_low,1
ae,SSI_high,2
ae,SSI_low,0
am,SSI_high,0
am,SSI_low,1
ap,SSI_high,1
ap,SSI_low,0
bad,SSI_high,0
bad,SSI_low,1
bid,SSI_high,0
bid,SSI_low,1
board,SSI_high,0
board,SSI_low,1
c,SSI_high,0
c,SSI_low,33
can,SSI_high,0
can,SSI_low,1
cm,SSI_high,0
cm,SSI_low,1
cn,SSI_high,0
cn,SSI_low,1
d,SSI_high,1
d,SSI_low,1
d0,SSI_high,1
d0,SSI_low,3
dmm,SSI_high,0
dmm,SSI_low,1
ecd,SSI_high,0
ecd,SSI_low,1
excel,SSI_high,1
excel,SSI_low,0
g,SSI_high,1
g,SSI_low,0
hasso,SSI_high,1
hasso,SSI_low,0
hassopicks,SSI_high,0
hassopicks,SSI_low,1
hp,SSI_high,0
hp,SSI_low,1
insides,SSI_high,1
insides,SSI_low,1
job,SSI_high,0
job,SSI_low,1
jr,SSI_high,0
jr,SSI_low,1
ksp,SSI_high,0
ksp,SSI_low,1
ldlコレステロール,SSI_high,1
ldlコレステロール,SSI_low,0
m,SSI_high,2
m,SSI_low,0
mac,SSI_high,1
mac,SSI_low,0
max,SSI_high,0
max,SSI_low,1
mba,SSI_high,1
mba,SSI_low,0
mdb,SSI_high,0
mdb,SSI_low,1
mtg,SSI_high,4
mtg,SSI_low,44
must,SSI_high,0
must,SSI_low,1
mysos,SSI_high,0
mysos,SSI_low,1
n,SSI_high,0
n,SSI_low,1
nintendo,SSI_high,0
nintendo,SSI_low,1
no,SSI_high,0
no,SSI_low,1
ok,SSI_high,1
ok,SSI_low,0
on,SSI_high,0
on,SSI_low,1
op,SSI_high,1
op,SSI_low,0
ow,SSI_high,0
ow,SSI_low,1
pc,SSI_high,3
pc,SSI_low,0
pcr,SSI_high,0
pcr,SSI_low,1
pp,SSI_high,0
pp,SSI_low,1
ppm,SSI_high,0
ppm,SSI_low,1
q,SSI_high,1
q,SSI_low,0
qbb,SSI_high,0
qbb,SSI_low,1
rbc,SSI_high,0
rbc,SSI_low,1
s,SSI_high,1
s,SSI_low,1
shift,SSI_high,0
shift,SSI_low,1
sw,SSI_high,1
sw,SSI_low,1
t,SSI_high,1
t,SSI_low,0
tips,SSI_high,1
tips,SSI_low,0
tl,SSI_high,1
tl,SSI_low,0
todo,SSI_high,0
todo,SSI_low,1
tree,SSI_high,0
tree,SSI_low,1
tw,SSI_high,0
tw,SSI_low,1
up,SSI_high,0
up,SSI_low,2
usj,SSI_high,1
usj,SSI_low,0
usjcmp,SSI_high,0
usjcmp,SSI_low,1
usjmtg,SSI_high,1
usjmtg,SSI_low,0
w,SSI_high,1
w,SSI_low,0
will,SSI_high,0
will,SSI_low,1
ws,SSI_high,3
ws,SSI_low,0
ww,SSI_high,0
ww,SSI_low,1
youtuber,SSI_high,0
youtuber,SSI_low,1
yt,SSI_high,0
yt,SSI_low,1
zoom,SSI_high,0
zoom,SSI_low,1
z世代,SSI_high,1
z世代,SSI_low,0
〆切,SSI_high,3
〆切,SSI_low,1
あいさつ,SSI_high,0
あいさつ,SSI_low,1
あした,SSI_high,1
あした,SSI_low,0
あっというま,SSI_high,0
あっというま,SSI_low,1
あっという間,SSI_high,0
あっという間,SSI_low,1
あと,SSI_high,5
あと,SSI_low,5
あまり,SSI_high,1
あまり,SSI_low,1
ありがた,SSI_high,1
ありがた,SSI_low,1
ありがたい,SSI_high,2
ありがたい,SSI_low,0
ありがたかっ,SSI_high,0
ありがたかっ,SSI_low,1
あれ,SSI_high,1
あれ,SSI_low,0
あれだけ,SSI_high,1
あれだけ,SSI_low,2
いい,SSI_high,18
いい,SSI_low,10
いいじゃない,SSI_high,1
いいじゃない,SSI_low,0
いいね,SSI_high,0
いいね,SSI_low,1
いいね!,SSI_high,0
いいね!,SSI_low,1
いいもの,SSI_high,0
いいもの,SSI_low,1
いかよう,SSI_high,1
いかよう,SSI_low,0
いくつ,SSI_high,0
いくつ,SSI_low,1
いくつになっても,SSI_high,1
いくつになっても,SSI_low,0
いずれ,SSI_high,0
いずれ,SSI_low,1
いそがしかっ,SSI_high,1
いそがしかっ,SSI_low,0
いち,SSI_high,0
いち,SSI_low,1
いちばん,SSI_high,1
いちばん,SSI_low,0
いっさい,SSI_high,0
いっさい,SSI_low,1
いって,SSI_high,0
いって,SSI_low,2
いつ,SSI_high,1
いつ,SSI_low,1
いや,SSI_high,0
いや,SSI_low,1
い人,SSI_high,1
い人,SSI_low,0
い表,SSI_high,0
い表,SSI_low,1
うち,SSI_high,1
うち,SSI_low,0
うまい,SSI_high,2
うまい,SSI_low,0
うまく,SSI_high,5
うまく,SSI_low,8
うれし,SSI_high,0
うれし,SSI_low,1
うれしい,SSI_high,3
うれしい,SSI_low,3
うれしいこと。,SSI_high,1
うれしいこと。,SSI_low,0
うれしかっ,SSI_high,0
うれしかっ,SSI_low,2
うれしく,SSI_high,1
うれしく,SSI_low,0
おいしい,SSI_high,1
おいしい,SSI_low,1
おいしかっ,SSI_high,0
おいしかっ,SSI_low,1
おかけ,SSI_high,1
おかけ,SSI_low,0
おかげ,SSI_high,0
おかげ,SSI_low,2
おかしく,SSI_high,0
おかしく,SSI_low,1
おしまい,SSI_high,1
