token,class,count
0,WB_high,144
0,WB_low,64
0%,WB_high,2
0%,WB_low,0
00,WB_high,4
00,WB_low,4
0g,WB_high,1
0g,WB_low,0
0kg,WB_high,0
0kg,WB_low,1
0km,WB_high,2
0km,WB_low,0
0キロ,WB_high,5
0キロ,WB_low,1
0件,WB_high,5
0件,WB_low,0
0円,WB_high,1
0円,WB_low,0
0分,WB_high,3
0分,WB_low,2
0回,WB_high,2
0回,WB_low,2
0回目,WB_high,2
0回目,WB_low,1
0度,WB_high,1
0度,WB_low,1
0打,WB_high,1
0打,WB_low,0
0時,WB_high,19
0時,WB_low,12
0本,WB_high,0
0本,WB_low,1
0歳,WB_high,3
0歳,WB_low,1
0部,WB_high,1
0部,WB_low,0
???,WB_high,0
???,WB_low,1
a,WB_high,1
a,WB_low,0
ac,WB_high,1
ac,WB_low,0
am,WB_high,1
am,WB_low,0
amazonprimevideo,WB_high,1
amazonprimevideo,WB_low,0
ana,WB_high,2
ana,WB_low,0
ap,WB_high,2
ap,WB_low,0
b,WB_high,1
b,WB_low,0
bad,WB_high,0
bad,WB_low,1
bd,WB_high,1
bd,WB_low,1
being,WB_high,0
being,WB_low,2
bid,WB_high,0
bid,WB_low,1
board,WB_high,0
board,WB_low,1
bp,WB_high,1
bp,WB_low,0
bs,WB_high,0
bs,WB_low,1
bx,WB_high,1
bx,WB_low,0
c,WB_high,36
c,WB_low,1
cd,WB_high,2
cd,WB_low,0
cm,WB_high,3
cm,WB_low,1
cmfb,WB_high,0
cmfb,WB_low,1
cp,WB_high,0
cp,WB_low,1
cr,WB_high,2
cr,WB_low,0
d,WB_high,0
d,WB_low,4
d0,WB_high,4
d0,WB_low,0
day,WB_high,2
day,WB_low,0
dlr,WB_high,1
dlr,WB_low,0
dm,WB_high,1
dm,WB_low,1
ecd,WB_high,1
ecd,WB_low,0
facebook,WB_high,1
facebook,WB_low,0
fez,WB_high,1
fez,WB_low,0
final,WB_high,1
final,WB_low,0
gw,WB_high,1
gw,WB_low,0
h,WB_high,1
h,WB_low,0
happy,WB_high,1
happy,WB_low,0
hen,WB_high,1
hen,WB_low,1
hp,WB_high,0
hp,WB_low,2
in,WB_high,1
in,WB_low,0
j-pop,WB_high,1
j-pop,WB_low,0
jaaa,WB_high,0
jaaa,WB_low,2
job,WB_high,1
job,WB_low,0
jr,WB_high,1
jr,WB_low,0
jtb,WB_high,2
jtb,WB_low,0
k,WB_high,2
k,WB_low,0
ksp,WB_high,1
ksp,WB_low,0
ktv,WB_high,0
ktv,WB_low,1
kさん,WB_high,2
kさん,WB_low,0
kチーム,WB_high,1
kチーム,WB_low,0
ldlコレステロール,WB_high,1
ldlコレステロール,WB_low,0
leon,WB_high,1
leon,WB_low,0
line,WB_high,0
line,WB_low,1
mac,WB_high,1
mac,WB_low,0
max,WB_high,0
max,WB_low,1
mba,WB_high,3
mba,WB_low,0
mdb,WB_high,3
mdb,WB_low,1
mp,WB_high,1
mp,WB_low,0
mtg,WB_high,52
mtg,WB_low,8
mysos,WB_high,0
mysos,WB_low,1
mさん,WB_high,2
mさん,WB_low,0
n,WB_high,1
n,WB_low,0
ng,WB_high,1
ng,WB_low,0
nhk,WB_high,0
nhk,WB_low,1
nintendo,WB_high,1
nintendo,WB_low,0
no,WB_high,1
no,WB_low,0
nonhappy,WB_high,0
nonhappy,WB_low,1
nonio,WB_high,1
nonio,WB_low,0
o,WB_high,2
o,WB_low,0
ok,WB_high,4
ok,WB_low,0
ol,WB_high,1
ol,WB_low,0
on,WB_high,2
on,WB_low,1
op,WB_high,1
op,WB_low,0
ow,WB_high,1
ow,WB_low,0
pc,WB_high,3
pc,WB_low,0
pcr,WB_high,0
pcr,WB_low,2
ph,WB_high,1
ph,WB_low,0
pj,WB_high,1
pj,WB_low,0
ppm,WB_high,1
ppm,WB_low,0
python,WB_high,1
python,WB_low,0
qbb,WB_high,0
qbb,WB_low,1
qol,WB_high,1
qol,WB_low,0
rbc,WB_high,0
rbc,WB_low,1
s,WB_high,3
s,WB_low,0
sa,WB_high,1
sa,WB_low,0
sbf,WB_high,1
sbf,WB_low,0
sds,WB_high,1
sds,WB_low,0
shift,WB_high,1
shift,WB_low,0
ss,WB_high,1
ss,WB_low,0
sw,WB_high,2
sw,WB_low,0
sさん,WB_high,1
sさん,WB_low,0
t,WB_high,1
t,WB_low,1
tbs,WB_high,1
tbs,WB_low,0
tl,WB_high,1
tl,WB_low,0
toeic,WB_high,1
toeic,WB_low,0
tree,WB_high,1
tree,WB_low,0
ts,WB_high,1
ts,WB_low,0
tv,WB_high,1
tv,WB_low,0
tvcf,WB_high,1
tvcf,WB_low,0
tver,WB_high,1
tver,WB_low,0
u,WB_high,2
u,WB_low,0
up,WB_high,2
up,WB_low,0
usj,WB_high,0
usj,WB_low,1
w,WB_high,3
w,WB_low,1
well,WB_high,0
well,WB_low,2
wifi,WB_high,0
wifi,WB_low,1
ws,WB_high,6
ws,WB_low,0
ww,WB_high,0
ww,WB_low,1
y,WB_high,3
y,WB_low,0
ytv,WB_high,1
ytv,WB_low,0
zoom,WB_high,2
zoom,WB_low,1
z世代,WB_high,1
z世代,WB_low,0
〆切,WB_high,1
〆切,WB_low,1
ぁぁぁ,WB_high,1
ぁぁぁ,WB_low,0
あいさつ,WB_high,0
あいさつ,WB_low,1
あかい,WB_high,1
あかい,WB_low,0
あきらめない,WB_high,0
あきらめない,WB_low,1
あさって,WB_high,0
あさって,WB_low,1
あした,WB_high,1
あした,WB_low,0
あたらしい,WB_high,1
あたらしい,WB_low,0
あたり,WB_high,0
あたり,WB_low,3
あったかい,WB_high,0
あったかい,WB_low,1
あっち,WB_high,1
あっち,WB_low,0
あつもり,WB_high,2
あつもり,WB_low,0
あと,WB_high,14
あと,WB_low,5
あと先,WB_high,1
あと先,WB_low,0
あなた,WB_high,1
あなた,WB_low,0
あほ,WB_high,1
あほ,WB_low,0
ありか,WB_high,1
ありか,WB_low,0
ありがた,WB_high,2
ありがた,WB_low,0
ありがたい,WB_high,13
ありがたい,WB_low,0
ありがたかっ,WB_high,2
ありがたかっ,WB_low,2
ありがたく,WB_high,1
ありがたく,WB_low,0
ありがたさ,WB_high,1
ありがたさ,WB_low,0
ある意味,WB_high,1
ある意味,WB_low,0
あれ,WB_high,2
あれ,WB_low,0
あれだけ,WB_high,0
あれだけ,WB_low,3
あわただしく,WB_high,0
あわただしく,WB_low,1
あんどう,WB_high,1
あんどう,WB_low,0
いい,WB_high,67
いい,WB_low,26
いいね,WB_high,2
いいね,WB_low,0
いいね!,WB_high,1
いいね!,WB_low,0
いいもの,WB_high,0
いいもの,WB_low,1
いい加減,WB_high,0
いい加減,WB_low,1
いかが,WB_high,1
いかが,WB_low,0
いかよう,WB_high,1
いかよう,WB_low,0
いかん,WB_high,1
いかん,WB_low,0
いくつ,WB_high,1
いくつ,WB_low,0
いくつか,WB_high,1
いくつか,WB_low,0
いざこざ,WB_high,0
いざこざ,WB_low,1
いずれ,WB_high,0
いずれ,WB_low,2
いそがしかっ,WB_high,2
いそがしかっ,WB_low,0
いちばん,WB_high,2
いちばん,WB_low,0
いっさい,WB_high,1
いっさい,WB_low,0
いって,WB_high,2
いって,WB_low,0
いっぱい,WB_high,2
いっぱい,WB_low,2
いつ,WB_high,2
いつ,WB_low,4
いつまでも,WB_high,0
いつまでも,WB_low,1
いつ話,WB_high,1
いつ話,WB_low,0
いない,WB_high,1
いない,WB_low,0
いま,WB_high,5
いま,WB_low,0
いや,WB_high,2
いや,WB_low,1
いらいら,WB_high,0
いらいら,WB_low,1
いろいろ,WB_high,2
いろいろ,WB_low,0
い表,WB_high,0
い表,WB_low,1
うえ,WB_high,1
うえ,WB_low,0
うち,WB_high,6
うち,WB_low,2
うって,WB_high,1
うって,WB_low,0
うねり,WB_high,1
うねり,WB_low,0
うまい,WB_high,3
うまい,WB_low,2
うまく,WB_high,9
うまく,WB_low,13
うれし,WB_high,2
うれし,WB_low,0
うれしい,WB_high,21
うれしい,WB_low,3
うれしいこと。,WB_high,1
うれしいこと。,WB_low,0
うれしかっ,WB_high,9
うれしかっ,WB_low,0
うれしく,WB_high,2
うれしく,WB_low,0
うー,WB_high,2
うー,WB_low,0
おいし,WB_high,1
おいし,WB_low,0
おいしい,WB_high,3
おいしい,WB_low,1
おいしかっ,WB_high,4
おいしかっ,WB_low,0
おいしく,WB_high,4
おいしく,WB_low,0
おおかっ,WB_high,1
おおかっ,WB_low,0
おおく,WB_high,0
おおく,WB_low,1
おかけ,WB_high,1
おかけ,WB_low,0
おかげ,WB_high,6
おかげ,WB_low,2
おかげさま,WB_high,1
おかげさま,WB_low,0
おかしい,WB_high,0
おかしい,WB_low,1
おかしかっ,WB_high,0
おかしかっ,WB_low,1
おかしく,WB_high,0
おかしく,WB_low,1
おかず,WB_high,1
おかず,WB_low,0
おしい,WB_high,0
おしい,WB_low,1
おしゃべり,WB_high,0
おしゃべり,WB_low,1
おしゃれ,WB_high,1
おしゃれ,WB_low,0
おじ,WB_high,1
おじ,WB_low,0
おつかれさま,WB_high,1
おつかれさま,WB_low,0
おでかけ,WB_high,1
おでかけ,WB_low,0
おでん,WB_high,1
おでん,WB_low,0
おなか,WB_high,2
おなか,WB_low,2
おはよう,WB_high,0
おはよう,WB_low,1
おば,WB_high,1
おば,WB_low,0
おまじない,WB_high,0
おまじない,WB_low,1
おもい,WB_high,0
おもい,WB_low,1
おもしろ,WB_high,1
おもしろ,WB_low,0
おやつ,WB_high,1
おやつ,WB_low,0
お世話,WB_high,5
お世話,WB_low,0
お世辞,WB_high,0
お世辞,WB_low,1
お互い,WB_high,2
お互い,WB_low,0
お仕事,WB_high,3
お仕事,WB_low,0
お値打ち,WB_high,1
お値打ち,WB_low,0
お出かけ,WB_high,1
お出かけ,WB_low,0
お台場,WB_high,1
お台場,WB_low,0
お土産,WB_high,6
お土産,WB_low,0
お天気,WB_high,0
お天気,WB_low,4
お好み焼き,WB_high,2
お好み焼き,WB_low,0
お客,WB_high,1
お客,WB_low,0
お客さん,WB_high,1
お客さん,WB_low,0
お客様,WB_high,1
お客様,WB_low,0
お手上げ,WB_high,0
お手上げ,WB_low,1
お昼,WB_high,7
お昼,WB_low,4
お母さん,WB_high,1
お母さん,WB_low,0
お気に入り,WB_high,1
お気に入り,WB_low,0
お父さん,WB_high,2
お父さん,WB_low,0
お知らせ,WB_high,0
お知らせ,WB_low,1
お礼,WB_high,1
お礼,WB_low,0
お祝い,WB_high,8
お祝い,WB_low,0
お粥,WB_high,2
お粥,WB_low,0
お腹,WB_high,2
お腹,WB_low,1
お花,WB_high,1
お花,WB_low,1
お茶の間,WB_high,0
お茶の間,WB_low,1
お菓子,WB_high,1
お菓子,WB_low,0
お見合い,WB_high,1
お見合い,WB_low,0
お詫び,WB_high,0
お詫び,WB_low,1
お話,WB_high,4
お話,WB_low,1
お話し,WB_high,1
お話し,WB_low,1
お誘い,WB_high,1
お誘い,WB_low,0
お迎え,WB_high,0
お迎え,WB_low,2
お通夜,WB_high,0
お通夜,WB_low,1
お酒,WB_high,1
お酒,WB_low,0
お金,WB_high,0
お金,WB_low,1
お題,WB_high,1
お題,WB_low,0
お願い,WB_high,1
お願い,WB_low,1
かい,WB_high,2
かい,WB_low,0
かき氷,WB_high,3
かき氷,WB_low,0
かく人,WB_high,1
かく人,WB_low,0
かけがえのないもの,WB_high,1
かけがえのないもの,WB_low,0
かっこいい,WB_high,1
かっこいい,WB_low,0
かっぱ寿司,WB_high,1
かっぱ寿司,WB_low,0
かなしい,WB_high,1
かなしい,WB_low,0
かなのこ,WB_high,1
かなのこ,WB_low,0
かなり,WB_high,1
かなり,WB_low,1
からいい,WB_high,1
からいい,WB_low,0
かわり,WB_high,1
かわり,WB_low,0
かん,WB_high,1
かん,WB_low,1
か所,WB_high,0
か所,WB_low,1
か月,WB_high,6
か月,WB_low,2
がたい,WB_high,0
がたい,WB_low,2
がち,WB_high,2
がち,WB_low,0
がよく,WB_high,1
がよく,WB_low,0
がわり,WB_high,2
がわり,WB_low,0
がん,WB_high,2
